Section,PosX,PosY,PosZ,Timestamp,Clamp
0cm,0.4462492332946326,0.31131108786758527,0.6642835847480284,2025-05-02T17:06:02.281175,close
0cm,0.4462492332946326,0.31131108786758527,0.6642835847480284,2025-05-02T17:06:06.303867,open
1cm,0.4463545802442206,0.3113135434567524,0.6539028338523025,2025-05-02T17:06:12.918781,close
1cm,0.4463545802442206,0.3113135434567524,0.6539028338523025,2025-05-02T17:06:16.935275,open
2cm,0.4465031205408221,0.3113110838603438,0.6436989676977392,2025-05-02T17:06:23.552804,close
2cm,0.4465031205408221,0.3113110838603438,0.6436989676977392,2025-05-02T17:06:27.569884,open
3cm,0.4466398640235967,0.31131862124392456,0.6334512915811794,2025-05-02T17:06:34.185672,close
3cm,0.4466398640235967,0.31131862124392456,0.6334512915811794,2025-05-02T17:06:38.214959,open
4cm,0.44682542802948105,0.31124957952183635,0.6232151326422587,2025-05-02T17:06:44.815217,close
4cm,0.44682542802948105,0.31124957952183635,0.6232151326422587,2025-05-02T17:06:48.839656,open
5cm,0.44701577531156966,0.31118034677508655,0.6129702410321006,2025-05-02T17:06:55.481408,close
5cm,0.44701577531156966,0.31118034677508655,0.6129702410321006,2025-05-02T17:06:59.501468,open
